market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
FWAORD,1,0,1,0,0,0,0.157000005,0.719441891,0.155067578,1.049999952,3.187415361,1.904010653,0,0,0.504299998,0.366873085,0.389404893,0.5120399,0.01633987,0,0,1.549387574,0,1.306886911,0.016055357,0.016055357
FWARSW,0,1,0,0,0,0,1.014999986,1.343134403,0.264955878,5.800000191,2.987356901,0.425313503,0,0,0.344641715,0.487000644,0.090995558,0.426442623,0.108433738,0,0.259334832,0.001141869,0.259334832,0.045477986,0.001138742,0.231915668
FWASRQ,0,1,0,0,0,0,0.948000014,1.266732574,0.363405675,3.549999952,3.279197931,0.488525331,0,0,0.157894731,0.600328922,0.078947365,0.362938613,0.020833334,0,0.274024814,0.001930076,0.274024814,0.063634813,0.002508815,0.244764373
FWATPA,0,1,0,1,0,0,0.908999979,1.233953238,0.102310307,2.299999952,2.896696568,0.981276393,0,0,0.362619162,0.497720689,0.189183593,0.515333652,0.090551183,0.157480314,0.286664337,0.001572411,0.286664337,0.065718278,0.001513054,0.256106615
GEGHOU,0,0,0,0,0,0,1.715999961,2.098287106,0.236466587,4.150000095,3.0846138,1.431475759,0,0,0.154320985,0.325973421,0.240384609,0.182692304,0.192307696,0.498219371,0.003306711,0.003306711,0.000391322,0.000709089,0,0
GEGIAD,0,0,1,0,0,0,2.082000017,2.231689215,0.234365851,4.150000095,3.432675838,1.442316771,0,0,0.193333328,0.421282053,0.52038461,0.242692307,0.192307696,0.201923072,0,0.020492569,0,0,0,0
GEGIND,0,0,1,1,0,0,1.644999981,1.779161096,0.441090435,2.599999905,2.934327602,0.81097877,0,0,0.239130437,0.33570236,0.430602014,0.481605351,0.192307696,0.381270885,0.014970495,0.116008207,0.014970495,0.016959537,0.013381874,0.013381874
GEGLAX,0,1,0,1,1,1,0.944999993,3.023398161,0.183144793,3.300000191,2.91750598,2.304039001,0,0,0.313793093,0.431167126,0.509350121,0.403381944,0.22334218,0.370888591,1.862883449,1.862883449,0.79299432,0.10216368,0.000444103,0.10216368
GEGLGA,0,0,1,1,0,0,2.188999891,2.43029952,0.11014735,2.199999809,3.342579603,2.796703339,0,0,0.274590164,0.392812103,0.412515759,0.404003799,0.192307696,0.201923072,0.015713332,0.060418725,0.015713332,0,0,0.017837321
GEGMCI,0,1,1,1,0,1,1.27699995,1.697329044,0.561136305,2.449999809,2.921367884,0.887881756,0,0,0.292792797,0.409390152,0.420564771,0.407917529,0.192307696,0.422643781,0.483431995,0.515151322,0.068874232,0.225080922,0,0
